country_label,lat,lon
Colombia,4.5709,-74.2973
United States,37.0902,-95.7129
Germany,51.1657,10.4515
Brazil,-14.235,-51.9253
China,35.8617,104.1954
India,20.5937,78.9629
France,46.6034,1.8883
Japan,36.2048,138.2529
Mexico,23.6345,-102.5528
Canada,56.1304,-106.3468
Argentina,-38.4161,-63.6167
South Africa,-30.5595,22.9375
United Kingdom,55.3781,-3.436
Italy,41.8719,12.5674
South Korea,35.9078,127.7669
Spain,40.4637,-3.7492
Russia,61.524,105.3188
Australia,-25.2744,133.7751
Netherlands,52.1326,5.2913
Chile,-35.6751,-71.543
